seID,SrcIp,DstIp,SrcPort,DstPort,ulVolume,dlVolume,totalVolume,ulPacket,dlPacket,totalPacket,timestamp
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:01
2587,170524674,2170660929,54571,5201,3335188611,3335188611,3335188611,39572,76629,116201,2025-01-19 01:42:01
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:04
2587,170524674,2170660929,54571,5201,3417842586,3417842586,3417842586,40597,78528,119125,2025-01-19 01:42:04
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:07
2587,170524674,2170660929,54571,5201,3505893661,3505893661,3505893661,41608,80551,122159,2025-01-19 01:42:07
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:10
2587,170524674,2170660929,54571,5201,3581627161,3581627161,3581627161,42489,82291,124780,2025-01-19 01:42:10
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:13
2587,170524674,2170660929,54571,5201,3685086086,3685086086,3685086086,43716,84668,128384,2025-01-19 01:42:13
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:16
2587,170524674,2170660929,54571,5201,3772353711,3772353711,3772353711,44748,86673,131421,2025-01-19 01:42:16
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:19
2587,170524674,2170660929,54571,5201,3851960936,3851960936,3851960936,45687,88502,134189,2025-01-19 01:42:19
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:42:22
2587,170524674,2170660929,54571,5201,3932569236,3932569236,3932569236,46643,90354,136997,2025-01-19 01:42:22
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:25
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:25
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:28
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:28
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:31
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:31
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:34
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:34
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:37
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:37
2587,170524674,134744072,0,0,1098897,1098897,1098897,76,29,105,2025-01-19 01:42:37
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:40
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:40
2587,170524674,134744072,0,0,10420575,10420575,10420575,309,275,584,2025-01-19 01:42:40
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:43
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:43
2587,170524674,134744072,0,0,19135965,19135965,19135965,567,505,1072,2025-01-19 01:42:43
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:46
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:46
2587,170524674,134744072,0,0,29708112,29708112,29708112,823,784,1607,2025-01-19 01:42:46
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:49
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:49
2587,170524674,134744072,0,0,38726646,38726646,38726646,1078,1022,2100,2025-01-19 01:42:49
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:52
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:52
2587,170524674,134744072,0,0,49109328,49109328,49109328,1332,1296,2628,2025-01-19 01:42:52
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:55
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:55
2587,170524674,134744072,0,0,58052076,58052076,58052076,1587,1532,3119,2025-01-19 01:42:55
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:42:58
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:42:58
2587,170524674,134744072,0,0,66767466,66767466,66767466,1844,1762,3606,2025-01-19 01:42:58
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:01
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:01
2587,170524674,134744072,0,0,76922790,76922790,76922790,2094,2030,4124,2025-01-19 01:43:01
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:04
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:04
2587,170524674,134744072,0,0,86774970,86774970,86774970,2353,2290,4643,2025-01-19 01:43:04
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:07
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:07
2587,170524674,134744072,0,0,96286113,96286113,96286113,2604,2541,5145,2025-01-19 01:43:07
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:10
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:10
2587,170524674,134744072,0,0,105683577,105683577,105683577,2855,2789,5644,2025-01-19 01:43:10
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:13
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:13
2587,170524674,134744072,0,0,114967362,114967362,114967362,3112,3034,6146,2025-01-19 01:43:13
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:16
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:16
2587,170524674,134744072,0,0,124554291,124554291,124554291,3369,3287,6656,2025-01-19 01:43:16
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:19
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:19
2587,170524674,134744072,0,0,130920315,130920315,130920315,3542,3455,6997,2025-01-19 01:43:19
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:22
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:22
2587,170524674,134744072,0,0,140658816,140658816,140658816,3794,3712,7506,2025-01-19 01:43:22
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:25
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:25
2587,170524674,134744072,0,0,149753136,149753136,149753136,4050,3952,8002,2025-01-19 01:43:25
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:28
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:28
2587,170524674,134744072,0,0,159415851,159415851,159415851,4302,4207,8509,2025-01-19 01:43:28
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:31
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:31
2587,170524674,134744072,0,0,168964887,168964887,168964887,4557,4459,9016,2025-01-19 01:43:31
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:34
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:34
2587,170524674,134744072,0,0,179385462,179385462,179385462,4814,4734,9548,2025-01-19 01:43:34
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:37
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:37
2587,170524674,134744072,0,0,188290317,188290317,188290317,5074,4969,10043,2025-01-19 01:43:37
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:40
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:40
2587,170524674,134744072,0,0,198824571,198824571,198824571,5326,5247,10573,2025-01-19 01:43:40
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:43
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:43
2587,170524674,134744072,0,0,209131467,209131467,209131467,5582,5519,11101,2025-01-19 01:43:43
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:46
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:46
2587,170524674,134744072,0,0,217733178,217733178,217733178,5840,5746,11586,2025-01-19 01:43:46
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:49
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:49
2587,170524674,134744072,0,0,226979070,226979070,226979070,6089,5990,12079,2025-01-19 01:43:49
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:52
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:52
2587,170524674,134744072,0,0,235997604,235997604,235997604,6340,6228,12568,2025-01-19 01:43:52
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:55
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:55
2587,170524674,134744072,0,0,247062360,247062360,247062360,6593,6520,13113,2025-01-19 01:43:55
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:43:58
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:43:58
2587,170524674,134744072,0,0,254830425,254830425,254830425,6845,6725,13570,2025-01-19 01:43:58
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:01
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:01
2587,170524674,134744072,0,0,261954309,261954309,261954309,7018,6913,13931,2025-01-19 01:44:01
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:04
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:04
2587,170524674,134744072,0,0,272412777,272412777,272412777,7278,7189,14467,2025-01-19 01:44:04
